# with diacritic	# without diacritic
⁽	(
₍	(
⁾	)
₎	)
⁰	0
⁰	0
⁰	0
⁰	0
⁰	0
⁰	0
⁰	0
₀	0
¹	1
₁	1
²	2
₂	2
³	3
₃	3
⁴	4
₄	4
⁵	5
₅	5
⁶	6
₆	6
⁷	7
₇	7
⁸	8
₈	8
⁹	9
₉	9
⁺	+
₊	+
⁻	-
₋	-
⁼	=
₌	=
ₐ	a
á	a
à	a
ä	a
â	a
å	a
ã	a
ā	a
Á	A
À	A
Ä	A
Â	A
Å	A
Ã	A
Ā	A
ç	c
Ç	C
ₑ	e
é	e
è	e
ë	e
ê	e
ē	e
É	E
È	E
Ë	E
Ê	E
Ē	E
ₕ	h
ⁱ	i
í	i
ì	i
ï	i
î	i
ī	i
Í	I
Ì	I
Ï	I
Î	I
Ī	I
ₖ	k
ₗ	l
ₘ	m
ⁿ	n
ₙ	n
ñ	n
Ñ	N
ₒ	o
ó	o
ò	o
ö	o
ô	o
ø	o
ō	o
Ó	O
Ò	O
Ö	O
Ô	O
Ø	O
Ō	O
ₚ	p
ₛ	s
ₜ	t
ú	u
ù	u
ü	u
û	u
ū	u
Ú	U
Ù	U
Ü	U
Û	U
Ū	U
ₓ	x
